name,styleUrl,longitude,latitude,altitude
P1,#icon-1899-0288D1-nodesc,-103.3660044,20.7638178,0
P2,#icon-1899-0288D1-nodesc,-103.3655745,20.7644799,0
P3,#icon-1899-0288D1-nodesc,-103.3659179,20.7638092,0
P4,#icon-1899-0288D1-nodesc,-103.3659017,20.7640125,0
P5,#icon-1899-0288D1-nodesc,-103.3654754,20.7636887,0
P6,#icon-1899-0288D1-nodesc,-103.3657356,20.7640799,0
P7,#icon-1899-0288D1-nodesc,-103.365488,20.7670025,0
P8,#icon-1899-0288D1-nodesc,-103.3650638,20.7666681,0
P9,#icon-1899-0288D1-nodesc,-103.3649922,20.7671022,0
P10,#icon-1899-0288D1-nodesc,-103.3639329,20.7594635,0
P11,#icon-1899-0288D1-nodesc,-103.3635869,20.7600324,0
P12,#icon-1899-0288D1-nodesc,-103.3634792,20.7587176,0
P13,#icon-1899-0288D1-nodesc,-103.3635248,20.7585825,0
P14,#icon-1899-0288D1-nodesc,-103.3635516,20.7584847,0
P15,#icon-1899-0288D1-nodesc,-103.3635891,20.7583944,0
P16,#icon-1899-0288D1-nodesc,-103.3636499,20.7582063,0
P17,#icon-1899-0288D1-nodesc,-103.3636499,20.7580132,0
P18,#icon-1899-0288D1-nodesc,-103.3636257,20.757918,0
P20,#icon-1899-0288D1-nodesc,-103.363562,20.7581381,0
P21,#icon-1899-0288D1-nodesc,-103.3629692,20.7596786,0
P22,#icon-1899-0288D1-nodesc,-103.3631597,20.7597438,0
P23,#icon-1899-0288D1-nodesc,-103.3631168,20.7594693,0
P24,#icon-1899-0288D1-nodesc,-103.3669516,20.7693296,0
P25,#icon-1899-0288D1-nodesc,-103.366316,20.7690251,0
P26,#icon-1899-0288D1-nodesc,-103.3666258,20.7691271,0
P27,#icon-1899-0288D1-nodesc,-103.3668859,20.7614666,0
P29,#icon-1899-0288D1-nodesc,-103.362773,20.7631935,0
P28,#icon-1899-0288D1-nodesc,-103.3645056,20.7620887,0
